[2026-01-22 13:18:40] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 13:20:29] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 13:39:31] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 13:48:14] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 14:30:59] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 14:32:38] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:07:13] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:08:17] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:20:38] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:23:13] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:25:57] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:27:30] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:30:39] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:34:15] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:34:54] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:36:49] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:38:15] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 15:40:45] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
